,A,B,C,D,E,F,G,H,I
A,0.760504201680672,0.0294117647058824,0,0.117647058823529,0.0294117647058824,0.0252100840336134,0.00840336134453781,0.0126050420168067,0.0168067226890756
B,0.0457142857142857,0.457142857142857,0.125714285714286,0.0742857142857143,0.217142857142857,0.04,0.0114285714285714,0.0171428571428571,0.0114285714285714
C,0.00318471337579618,0.0859872611464968,0.633757961783439,0.00955414012738853,0.0477707006369427,0.184713375796178,0.0191082802547771,0.00636942675159236,0.00955414012738853
D,0.105263157894737,0.0488721804511278,0.0075187969924812,0.537593984962406,0.131578947368421,0.0263157894736842,0.0827067669172932,0.0338345864661654,0.0263157894736842
E,0.00927152317880795,0.0503311258278146,0.0278145695364238,0.0423841059602649,0.71523178807947,0.0503311258278146,0.0145695364238411,0.0754966887417219,0.0145695364238411
F,0.00731707317073171,0.0170731707317073,0.117073170731707,0.0195121951219512,0.121951219512195,0.604878048780488,0.0121951219512195,0.0170731707317073,0.0829268292682927
G,0.0174216027874564,0.00696864111498258,0.0174216027874564,0.0557491289198606,0.0313588850174216,0.0278745644599303,0.759581881533101,0.0662020905923345,0.0174216027874564
H,0.00675675675675676,0.00675675675675676,0.0112612612612613,0.027027027027027,0.123873873873874,0.0157657657657658,0.0495495495495495,0.720720720720721,0.0382882882882883
I,0.0136986301369863,0,0.0365296803652968,0.0273972602739726,0.0547945205479452,0.141552511415525,0.0091324200913242,0.114155251141553,0.602739726027397
