,A,B,C,D
A,0.737931034482759,0.0844827586206897,0.0862068965517241,0.0913793103448276
B,0.0692951015531661,0.759856630824373,0.0513739545997611,0.1194743130227
C,0.0576687116564417,0.0539877300613497,0.788957055214724,0.0993865030674847
D,0.0567786790266512,0.122827346465817,0.0950173812282735,0.725376593279258
