user_id,event_type,elapsedTime,eventTimeStamp,task_type,correctness
1615391948359,set_attribute_weight_vector_init,NA,2021-03-10T16:10:27.636Z,dog,NA
1615391948359,set_attribute_weight_vector_init,NA,2021-03-10T16:10:27.638Z,dog,NA
1615391948359,hover,0.017,2021-03-10T16:10:34.365Z,dog,T
1615391948359,hover,0.016,2021-03-10T16:10:34.781Z,dog,F
1615391948359,hover,0.033,2021-03-10T16:10:58.060Z,dog,F
1615391948359,hover,1.606,2021-03-10T16:11:00.831Z,dog,F
1615391948359,hover,0.199,2021-03-10T16:11:02.538Z,dog,F
1615391948359,hover,5.108,2021-03-10T16:11:07.670Z,dog,F
1615391948359,hover,0.051,2021-03-10T16:11:07.735Z,dog,F
1615391948359,category_click,NA,2021-03-10T16:12:00.309Z,dog,NA
1615391948359,category_click,NA,2021-03-10T16:12:02.756Z,dog,NA
1615391948359,hover,0.033,2021-03-10T16:12:03.382Z,dog,F
1615391948359,drag,0.079,2021-03-10T16:12:03.715Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:03.721Z,dog,F
1615391948359,hover,0.503,2021-03-10T16:12:03.914Z,dog,F
1615391948359,drag,0.102,2021-03-10T16:12:04.415Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:04.420Z,dog,F
1615391948359,drag,0.092,2021-03-10T16:12:05.142Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:05.146Z,dog,F
1615391948359,hover,1.199,2021-03-10T16:12:05.347Z,dog,F
1615391948359,drag,0.091,2021-03-10T16:12:05.703Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:05.706Z,dog,F
1615391948359,hover,0.555,2021-03-10T16:12:05.920Z,dog,F
1615391948359,drag,0.107,2021-03-10T16:12:06.509Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:06.513Z,dog,F
1615391948359,hover,0.549,2021-03-10T16:12:06.846Z,dog,F
1615391948359,category_click,NA,2021-03-10T16:12:10.782Z,dog,NA
1615391948359,drag,0.094,2021-03-10T16:12:11.799Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:11.803Z,dog,T
1615391948359,hover,0.921,2021-03-10T16:12:12.112Z,dog,T
1615391948359,drag,0.129,2021-03-10T16:12:12.475Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:12.481Z,dog,T
1615391948359,hover,0.541,2021-03-10T16:12:12.657Z,dog,T
1615391948359,drag,0.091,2021-03-10T16:12:13.581Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:13.586Z,dog,T
1615391948359,hover,0.449,2021-03-10T16:12:13.789Z,dog,T
1615391948359,drag,0.105,2021-03-10T16:12:14.285Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:14.289Z,dog,T
1615391948359,hover,0.886,2021-03-10T16:12:14.925Z,dog,T
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:12:21.434Z,dog,NA
1615391948359,hover,0.016,2021-03-10T16:12:22.681Z,dog,F
1615391948359,drag,0.1,2021-03-10T16:12:27.356Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:27.361Z,dog,T
1615391948359,drag,0.113,2021-03-10T16:12:27.875Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:27.880Z,dog,T
1615391948359,hover,1.079,2021-03-10T16:12:28.095Z,dog,F
1615391948359,hover,0.033,2021-03-10T16:12:28.143Z,dog,F
1615391948359,drag,0.104,2021-03-10T16:12:28.675Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:28.679Z,dog,T
1615391948359,hover,0.599,2021-03-10T16:12:28.841Z,dog,F
1615391948359,hover,0.097,2021-03-10T16:12:28.941Z,dog,F
1615391948359,click,NA,2021-03-10T16:12:29.107Z,dog,T
1615391948359,drag,0.071,2021-03-10T16:12:29.103Z,dog,NA
1615391948359,hover,0.237,2021-03-10T16:12:29.246Z,dog,F
1615391948359,hover,0.017,2021-03-10T16:12:48.274Z,dog,T
1615391948359,hover,0.016,2021-03-10T16:12:48.340Z,dog,T
1615391948359,hover,0.441,2021-03-10T16:12:48.783Z,dog,T
1615391948359,hover,0.032,2021-03-10T16:12:53.285Z,dog,T
1615391948359,hover,0.017,2021-03-10T16:12:53.368Z,dog,T
1615391948359,drag,0.085,2021-03-10T16:12:55.852Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:55.857Z,dog,T
1615391948359,hover,0.487,2021-03-10T16:12:56.066Z,dog,T
1615391948359,drag,0.113,2021-03-10T16:12:56.712Z,dog,NA
1615391948359,click,NA,2021-03-10T16:12:56.715Z,dog,T
1615391948359,hover,0.549,2021-03-10T16:12:56.998Z,dog,T
1615391948359,hover,0.017,2021-03-10T16:12:57.681Z,dog,F
1615391948359,hover,0.033,2021-03-10T16:12:57.897Z,dog,F
1615391948359,hover,0.018,2021-03-10T16:12:59.763Z,dog,F
1615391948359,hover,0.016,2021-03-10T16:12:59.796Z,dog,F
1615391948359,hover,0.017,2021-03-10T16:13:00.045Z,dog,T
1615391948359,hover,0.071,2021-03-10T16:12:59.869Z,dog,F
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:06.048Z,dog,NA
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:12.711Z,dog,NA
1615391948359,hover,0.066,2021-03-10T16:13:13.932Z,dog,T
1615391948359,hover,0.017,2021-03-10T16:13:14.082Z,dog,F
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:20.981Z,dog,NA
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:29.605Z,dog,NA
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:34.554Z,dog,NA
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:38.663Z,dog,NA
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:44.374Z,dog,NA
1615391948359,hover,0.05,2021-03-10T16:13:47.935Z,dog,F
1615391948359,hover,0.016,2021-03-10T16:13:49.166Z,dog,F
1615391948359,hover,0.433,2021-03-10T16:13:49.616Z,dog,F
1615391948359,hover,0.017,2021-03-10T16:13:50.015Z,dog,F
1615391948359,hover,0.017,2021-03-10T16:13:50.265Z,dog,F
1615391948359,hover,0.095,2021-03-10T16:13:50.365Z,dog,F
1615391948359,hover,0.013,2021-03-10T16:13:50.381Z,dog,F
1615391948359,hover,0.15,2021-03-10T16:13:50.598Z,dog,F
1615391948359,hover,0.016,2021-03-10T16:13:50.764Z,dog,F
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:13:59.506Z,dog,NA
1615391948359,hover,0.016,2021-03-10T16:14:02.803Z,dog,F
1615391948359,hover,0.017,2021-03-10T16:14:02.836Z,dog,F
1615391948359,hover,0.013,2021-03-10T16:14:02.854Z,dog,F
1615391948359,hover,0.066,2021-03-10T16:14:02.936Z,dog,F
1615391948359,hover,0.017,2021-03-10T16:14:03.069Z,dog,F
1615391948359,hover,0.033,2021-03-10T16:14:03.902Z,dog,T
1615391948359,hover,0.016,2021-03-10T16:14:03.951Z,dog,F
1615391948359,hover,0.016,2021-03-10T16:14:04.252Z,dog,F
1615391948359,hover,0.017,2021-03-10T16:14:04.285Z,dog,F
1615391948359,hover,0.016,2021-03-10T16:14:04.368Z,dog,T
1615391948359,hover,0.016,2021-03-10T16:14:04.451Z,dog,T
1615391948359,hover,0.017,2021-03-10T16:14:05.350Z,dog,F
1615391948359,set_attribute_weight_vector_select,NA,2021-03-10T16:14:34.591Z,dog,NA
1615391948359,hover,0.033,2021-03-10T16:14:55.037Z,dog,T
1615391948359,category_click,NA,2021-03-10T16:14:59.225Z,dog,NA
1615391948359,hover,0.083,2021-03-10T16:15:00.731Z,dog,F
1615391948359,drag,0.216,2021-03-10T16:15:02.092Z,dog,NA
1615391948359,click,NA,2021-03-10T16:15:02.097Z,dog,F
1615391948359,hover,0.733,2021-03-10T16:15:02.281Z,dog,F
1615391948359,hover,0.066,2021-03-10T16:15:03.629Z,dog,F
1615391948359,hover,0.104,2021-03-10T16:15:04.861Z,dog,F
1615391948359,drag,0.213,2021-03-10T16:15:05.521Z,dog,NA
1615391948359,click,NA,2021-03-10T16:15:05.525Z,dog,F
1615391948359,hover,0.832,2021-03-10T16:15:05.710Z,dog,F
1615391948359,hover,0.051,2021-03-10T16:15:07.692Z,dog,F
1615391948359,hover,0.083,2021-03-10T16:15:07.791Z,dog,F
1615391948359,hover,0.171,2021-03-10T16:15:08.025Z,dog,F
1615391948359,drag,0.215,2021-03-10T16:15:09.417Z,dog,NA
1615391948359,click,NA,2021-03-10T16:15:09.423Z,dog,F
1615391948359,hover,0.749,2021-03-10T16:15:09.608Z,dog,F
1615391948359,drag,0.216,2021-03-10T16:15:10.099Z,dog,NA
1615391948359,click,NA,2021-03-10T16:15:10.105Z,dog,F
1615391948359,hover,0.772,2021-03-10T16:15:10.384Z,dog,F
1615391948359,hover,0.012,2021-03-10T16:15:10.705Z,dog,F
1615391948359,hover,0.049,2021-03-10T16:15:10.772Z,dog,F
1615391948359,drag,0.214,2021-03-10T16:15:11.589Z,dog,NA
1615391948359,click,NA,2021-03-10T16:15:11.594Z,dog,F
1615391948359,drag,0.213,2021-03-10T16:15:12.307Z,dog,NA
1615391948359,click,NA,2021-03-10T16:15:12.309Z,dog,F
1615391948359,hover,1.349,2021-03-10T16:15:12.472Z,dog,F
1615391948359,hover,0.012,2021-03-10T16:15:12.487Z,dog,F
1615391948359,hover,0.133,2021-03-10T16:15:12.721Z,dog,F
1615391948359,drag,0.215,2021-03-10T16:15:13.552Z,dog,NA
1615391948359,click,NA,2021-03-10T16:15:13.558Z,dog,F
