source,Player 47,Player 114,Player 127,Player 136,Player 166,Player 299,Player 310,Player 324,Player 348,Player 383,Player 384,Player 394,Player 463,Player 473,Player 597,Player 603,Player 611,Player 621,Player 852,Player 903,Player 51,Player 79,Player 86,Player 134,Player 195,Player 213,Player 309,Player 433,Player 496,Player 513,Player 571,Player 600,Player 702,Player 752,Player 771,Player 799,Player 859,Player 920,Player 942,Player 966,Player 23,Player 107,Player 113,Player 128,Player 161,Player 170,Player 335,Player 520,Player 562,Player 606,Player 678,Player 686,Player 762,Player 819,Player 824,Player 854,Player 878,Player 959,Player 980,Player 995,Player 8,Player 11,Player 13,Player 30,Player 49,Player 58,Player 162,Player 167,Player 253,Player 339,Player 391,Player 442,Player 554,Player 570,Player 763,Player 900,Player 919,Player 921,Player 952,Player 992,Player 85,Player 185,Player 199,Player 278,Player 289,Player 380,Player 395,Player 537,Player 574,Player 585,Player 590,Player 640,Player 689,Player 751,Player 755,Player 764,Player 828,Player 884,Player 887,Player 894
Player 752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.142857143,0.142857143,0,0.166666667,0.023809524,0,0.142857143,0,0.547619047,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0,0,0.166666667,0,0,0.142857143,0,0.142857143,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 771,0,0.023809524,0,0.166666667,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.285714286,0.142857143,0,0.166666667,0,0.5,0.285714286,0.142857143,0.142857143,0.166666667,0,0.142857143,0.023809524,0,0,0.19047619,0,0.071428571,0.166666667,0,0,0,0,0,0,0.166666667,0,0,0,0,0.142857143,0,0.142857143,0.166666667,0,0,0,0,0,0,0.142857143,0,0,0,0.166666667,0,0.142857143,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0
Player 799,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0.023809524,0,0,0,0,0,0,0,0.166666667,0.833333333,0.166666667,0.142857143,0.166666667,0.261904762,0,0,0,0.119047619,0,0.285714286,0,0.142857143,0.047619047,0,0,0,0.285714286,0,0.166666667,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.166666667,0,0,0.333333333,0,0,0,0.142857143,0,0,0,0.166666667,0
Player 859,0.142857143,0,0,0,0,0,0,0,0,0,0.166666667,0,0.142857143,0,0,0,0,0,0,0,0.333333333,0.166666667,0,0.380952381,0,0,0,0,0,0.023809524,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,1,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0
Player 920,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452380953,0,0,0,0,0.166666667,0.142857143,0,0,0,0,0,0.166666667,0,0.119047619,0.166666667,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0.571428571,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.142857143,0,0,0,0,0,0
Player 942,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0,0,0,0.166666667,0.023809524,0.095238096,0,0,0,0,0,0.404761904,0,0,0,0,0,0,0,0.166666667,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0.166666667,0,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0.142857143,0.166666667,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0
Player 966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0.166666667,0.166666667,0,0,0,0.142857143,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.119047619,0,0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0.333333333,0,0.166666667,0,0,0,0,0.142857143,0,0,0.166666667,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0.142857143,0
Player 23,0.142857143,0,0.142857143,0,0,0,0,0,0.142857143,0,0,0,0,0.119047619,0.023809524,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.142857143,0.142857143,0,0,0.119047619,0,0,0.166666667,0,0.142857143,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0.166666667,0,0.023809524,0,0,0.166666667,0.166666667,0,0.166666667
Player 107,0,0,0.333333333,0.166666667,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0.166666667,0.142857143,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.142857143,0,0.19047619,0.285714286,0,0.571428571,0,0,0.166666667,0,0.285714286,0.023809524,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0,0.166666667,0,0,0,0,0.285714286,0,0,0,0
Player 113,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0.285714286,0,0,0,0.333333333,0,0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0.333333333,0,0.166666667,0,0,0.69047619,0.714285714,0,0,0.166666667,0,0,0,0.166666667,0,0.285714286,0.142857143,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0.166666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0,0,0.142857143,0,0,0,0.142857143,0,0.142857143,0,0.119047619,0,0.166666667,0
Player 128,0.333333333,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0.142857143,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0,0.142857143,0.166666667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.095238096,0,0.142857143,0,0.023809524,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0.142857143,0,0,0,0,0,0.142857143,0,0.142857143,0,0,0,0.166666667,0.142857143,0,0,0,0.285714286,0,0.428571429,0,0,0,0,0.547619047,0,0,0,0
Player 161,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0.166666667,0,0,0,0,0,0.142857143,0.857142857,0.142857143,0,0.142857143,0.357142857,0,0.142857143,0,0,0,0,0,0,0.142857143,0.5,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0.142857143,0,0,0,0,0,0.166666667
Player 170,0,0.261904762,0,0,0.142857143,0.333333333,0,0,0,0,0.166666667,0,0.19047619,0,0,0.142857143,0,0,0.19047619,0.119047619,0,0.166666667,0,0,0,0,0,0,0,0.119047619,0.166666667,0,0,0,0.285714286,0.285714286,0,0,0,0,0.142857143,0,0,0.333333333,0.333333333,0,0,0,0.142857143,0.333333333,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0
Player 335,0,0,0.142857143,0,0,0.333333333,0,0,0,0,0,0.142857143,0.023809524,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0.142857143,0,0,0,0,0,0,0.166666667,0.285714286,0,0,0,0,0,0.166666667,0,0.142857143,0,0,0,0.5,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69047619,0,0,0.119047619,0,0,0,0,0.166666667,0,0.142857143,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667
Player 520,0,0,0,0,0.142857143,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0.166666667,0.142857143,0,0.142857143,0.166666667,0,0,0,0.166666667,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.404761904,0,0.119047619,0,0.119047619,0,0,0.142857143,0.142857143,0,0,0,0.142857143,0,0,0,0,0,0,0
Player 562,0,0,0.285714286,0.142857143,0,0.142857143,0.166666667,0,0.285714286,0.142857143,0,0,0,0.285714286,0.142857143,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.119047619,0.333333333,0.142857143,0,0.142857143,0.166666667,0,0.142857143,0,0.166666667,0.023809524,0.142857143,0,0.142857143,0,0.166666667,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
