source,Player 47,Player 114,Player 127,Player 136,Player 166,Player 299,Player 310,Player 324,Player 348,Player 383,Player 384,Player 394,Player 463,Player 473,Player 597,Player 603,Player 611,Player 621,Player 852,Player 903,Player 51,Player 79,Player 86,Player 134,Player 195,Player 213,Player 309,Player 433,Player 496,Player 513,Player 571,Player 600,Player 702,Player 752,Player 771,Player 799,Player 859,Player 920,Player 942,Player 966,Player 23,Player 107,Player 113,Player 128,Player 161,Player 170,Player 335,Player 520,Player 562,Player 606,Player 678,Player 686,Player 762,Player 819,Player 824,Player 854,Player 878,Player 959,Player 980,Player 995,Player 8,Player 11,Player 13,Player 30,Player 49,Player 58,Player 162,Player 167,Player 253,Player 339,Player 391,Player 442,Player 554,Player 570,Player 763,Player 900,Player 919,Player 921,Player 952,Player 992,Player 85,Player 185,Player 199,Player 278,Player 289,Player 380,Player 395,Player 537,Player 574,Player 585,Player 590,Player 640,Player 689,Player 751,Player 755,Player 764,Player 828,Player 884,Player 887,Player 894
Player 185,0.024489796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0.024489796,0.057142857,0,0,0.024489796,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0.024489796,0.048979592,0.024489796,0,0,0,0,0,0,0,0,0,0.028571429,0.024489796,0,0,0.028571429,0,0,0,0,0.024489796,0.057142857,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0.32244898,0,0,0,0,0,0,0.093877551,0.024489796,0,0,0,0,0,0.024489796,0,0,0,0
Player 199,0,0,0,0.027272727,0,0,0,0,0,0,0.027272727,0,0,0,0.031818182,0,0,0,0,0.031818182,0,0.031818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004545455,0,0.054545455,0.027272727,0.031818182,0,0,0,0,0,0,0,0,0,0.031818182,0,0,0,0,0,0.027272727,0.063636364,0,0.027272727,0,0.095454545,0,0,0,0,0,0,0,0.031818182,0,0,0,0.027272727,0.004545455,0,0,0.027272727,0.118181818,0,0,0,0.077272727,0.004545455,0,0,0.063636364,0.063636364,0.040909091,0,0.027272727,0,0,0,0,0
Player 278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0.046783626,0,0.040935673,0,0,0,0,0,0,0,0.099415204,0.040935673,0.035087719,0.035087719,0,0,0,0,0,0,0.040935673,0,0.040935673,0,0,0,0,0,0.035087719,0,0.040935673,0,0,0.040935673,0.146198831,0.070175439,0,0,0,0,0.040935673,0,0,0.035087719,0,0.035087719,0,0,0,0.140350877,0
Player 289,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0.030612245,0,0.030612245,0,0.091836735,0,0,0,0,0.091836735,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0.142857143,0,0.071428571,0,0.117346939,0,0.06122449,0,0,0,0,0.030612245,0,0,0,0,0,0.030612245,0.107142857,0
Player 380,0.040229885,0,0,0.068965517,0.034482759,0,0,0,0,0.040229885,0,0.005747126,0,0,0,0,0,0,0,0,0,0,0.040229885,0,0,0,0,0,0,0,0,0,0.040229885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005747126,0.034482759,0,0.034482759,0,0,0.034482759,0,0.034482759,0,0.08045977,0.068965517,0,0,0,0.040229885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.068965517,0,0.034482759,0,0.040229885,0,0,0.08045977,0,0,0.103448276,0.034482759,0,0,0
Player 395,0,0,0,0,0,0,0,0,0,0.035294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041176471,0,0,0,0,0,0.041176471,0,0,0,0,0,0,0,0,0,0,0,0,0.041176471,0.035294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005882353,0.035294118,0,0,0,0.041176471,0,0.041176471,0,0,0,0,0,0,0,0,0.041176471,0,0.035294118,0.035294118,0.105882353,0,0,0,0.205882353,0.070588235,0,0,0.041176471,0,0.041176471,0,0.070588235,0,0,0.035294118,0,0
Player 537,0,0,0,0,0.042682927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042682927,0.042682927,0,0.042682927,0,0,0,0.042682927,0,0.042682927,0,0,0,0,0,0,0,0,0,0,0,0.036585366,0.036585366,0,0.042682927,0,0,0,0,0.006097561,0,0.036585366,0,0,0.036585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036585366,0,0,0,0,0,0,0,0.042682927,0,0.048780488,0.036585366,0,0,0.036585366,0.152439024,0,0.036585366,0.042682927,0,0.073170732,0,0,0,0,0,0.042682927,0
Player 574,0.023923445,0,0,0,0,0,0,0,0,0,0,0.057416268,0,0,0,0,0,0,0,0,0,0,0,0.038277512,0.004784689,0.033492823,0,0,0,0.028708134,0,0,0,0,0.028708134,0,0.004784689,0,0,0,0,0,0.028708134,0.028708134,0,0,0.028708134,0.028708134,0,0.028708134,0,0,0,0,0,0,0,0.033492823,0,0,0,0,0,0,0.052631579,0.033492823,0.033492823,0,0.004784689,0.033492823,0,0,0,0,0.033492823,0.066985646,0,0,0.066985646,0.033492823,0,0.14354067,0,0,0,0,0,0,0.014354067,0,0,0,0.028708134,0,0,0,0,0.057416268,0,0
Player 585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0,0,0.03,0.07,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.035,0.03,0,0,0.03,0,0,0.03,0,0.035,0,0,0,0,0,0,0.07,0.035,0.03,0.03,0,0,0,0.07,0,0,0,0,0.03,0.165,0,0.03,0,0.035,0,0,0.03,0,0.03,0
Player 590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114754098,0,0,0,0,0,0,0,0.038251366,0.038251366,0,0.038251366,0,0.038251366,0,0.076502732,0,0,0,0,0.038251366,0.038251366,0,0,0,0,0,0,0,0.098360656,0,0,0,0,0,0,0,0,0,0,0.038251366,0,0,0,0,0,0,0,0,0,0,0.06557377,0,0,0.032786885,0,0,0.032786885,0,0,0,0.032786885,0,0,0,0.005464481,0,0,0.038251366,0,0.032786885,0.06557377,0.038251366,0.038251366,0,0,0.06010929,0,0,0,0,0,0,0,0,0
Player 640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039772727,0,0,0.079545454,0.039772727,0,0,0,0,0.039772727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039772727,0,0,0,0,0,0,0.079545454,0,0,0,0,0,0.068181818,0,0.005681818,0,0.079545454,0,0.034090909,0,0,0,0.034090909,0,0.034090909,0,0,0.034090909,0,0,0,0,0.039772727,0,0.039772727,0,0.204545454,0,0,0,0,0.068181818,0,0.005681818,0.034090909
Player 689,0,0,0,0,0,0,0,0,0,0,0,0.032608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032608696,0,0,0,0,0,0,0,0,0,0,0,0,0.032608696,0,0.038043478,0,0.038043478,0,0,0,0.038043478,0,0.027173913,0,0.032608696,0.032608696,0.038043478,0,0,0,0,0,0.032608696,0,0.038043478,0.076086956,0,0,0,0,0,0.076086956,0,0,0,0.065217391,0.130434782,0,0,0,0.005434783,0,0,0,0,0.163043478,0.032608696,0,0,0,0,0.038043478,0
Player 751,0,0,0,0,0.02764977,0,0,0,0,0,0.032258065,0.02764977,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0.02764977,0,0.02764977,0,0,0,0,0,0,0,0,0,0,0,0.02764977,0,0,0,0,0.02764977,0,0,0,0,0.02764977,0,0,0,0.02764977,0,0,0.032258065,0,0,0,0.004608295,0,0,0,0.036866359,0,0,0,0,0,0,0,0,0,0.032258065,0.055299539,0,0,0,0.032258065,0,0,0,0,0.02764977,0,0,0,0,0,0,0,0.341013825,0.032258065,0,0.064516129,0.055299539,0,0
Player 755,0,0,0,0,0,0.047244094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05511811,0,0.047244094,0.05511811,0.05511811,0,0,0,0,0,0,0.05511811,0,0,0,0.05511811,0,0,0,0,0.047244094,0,0,0,0,0,0,0,0,0,0,0.047244094,0,0.05511811,0,0,0,0,0,0,0,0.05511811,0,0,0,0,0,0,0,0,0,0,0,0.05511811,0,0.05511811,0,0,0,0.015748031,0.047244094,0,0,0,0,0.094488189,0,0.157480315,0,0,0,0,0
Player 764,0,0,0,0,0,0.042944785,0,0,0,0,0,0,0.042944785,0,0,0,0,0.042944785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042944785,0,0,0,0,0.036809816,0,0,0.036809816,0,0.110429448,0,0.036809816,0.036809816,0,0.036809816,0,0,0,0,0,0.073619632,0,0.036809816,0,0,0.030674847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042944785,0,0,0,0,0,0,0,0.036809816,0,0,0,0.073619632,0,0,0,0.042944785,0,0,0.036809816,0,0,0.079754601,0,0.036809816,0.042944785,0
Player 828,0,0,0,0,0,0,0,0,0.043209877,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0.043209877,0.043209877,0,0,0,0.043209877,0,0,0,0.043209877,0,0,0,0,0,0,0,0,0.043209877,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0.043209877,0.037037037,0,0.043209877,0,0.037037037,0,0,0,0,0,0,0,0.037037037,0.037037037,0,0,0,0,0,0,0,0.037037037,0,0.00617284,0.043209877,0,0.043209877,0,0,0,0.037037037,0,0.037037037,0,0,0.191358024,0,0,0
Player 884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.07,0,0.005,0,0.03,0.09,0,0,0,0,0,0,0.035,0,0,0.03,0,0,0.03,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.035,0.03,0,0.03,0.03,0,0,0,0,0,0,0,0,0.035,0,0,0,0.035,0.03,0,0,0,0,0.03,0,0.03,0,0,0.06,0,0,0,0.21,0,0.03
Player 887,0,0,0,0,0.034653465,0,0,0,0,0,0,0,0,0,0,0,0.034653465,0.02970297,0,0,0,0.034653465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138613861,0,0,0,0.034653465,0.074257426,0,0,0,0,0,0.138613861,0,0,0,0.059405941,0,0,0,0,0,0,0.103960396,0.034653465,0,0.034653465,0.02970297,0.034653465,0.024752475,0,0,0.02970297,0.02970297,0,0,0,0,0.00990099,0,0.034653465,0,0,0,0.054455446,0
Player 894,0,0,0,0,0,0,0,0,0.070707071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070707071,0,0,0,0,0,0.070707071,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0.070707071,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0,0.01010101,0,0,0,0.181818182,0,0,0.060606061,0.060606061,0.070707071,0,0.060606061,0.060606061,0,0,0,0,0,0,0,0.070707071,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0.01010101
