source,Player 47,Player 114,Player 127,Player 136,Player 166,Player 299,Player 310,Player 324,Player 348,Player 383,Player 384,Player 394,Player 463,Player 473,Player 597,Player 603,Player 611,Player 621,Player 852,Player 903,Player 51,Player 79,Player 86,Player 134,Player 195,Player 213,Player 309,Player 433,Player 496,Player 513,Player 571,Player 600,Player 702,Player 752,Player 771,Player 799,Player 859,Player 920,Player 942,Player 966,Player 23,Player 107,Player 113,Player 128,Player 161,Player 170,Player 335,Player 520,Player 562,Player 606,Player 678,Player 686,Player 762,Player 819,Player 824,Player 854,Player 878,Player 959,Player 980,Player 995,Player 8,Player 11,Player 13,Player 30,Player 49,Player 58,Player 162,Player 167,Player 253,Player 339,Player 391,Player 442,Player 554,Player 570,Player 763,Player 900,Player 919,Player 921,Player 952,Player 992,Player 85,Player 185,Player 199,Player 278,Player 289,Player 380,Player 395,Player 537,Player 574,Player 585,Player 590,Player 640,Player 689,Player 751,Player 755,Player 764,Player 828,Player 884,Player 887,Player 894
Player 384,0.03196347,0.068493151,0.02739726,0.00456621,0.054794521,0.00456621,0.00456621,0.02739726,0.136986301,0.068493151,0,0,0.02739726,0.054794521,0,0.03196347,0.02739726,0.00913242,0,0.02739726,0,0,0,0.03196347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03196347,0.03196347,0,0,0,0,0.03196347,0,0,0,0.02739726,0.02739726,0.02739726,0.02739726,0,0,0,0,0,0.03196347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02739726,0,0.03196347,0,0,0,0,0,0,0,0.03196347,0,0.03196347,0,0
Player 394,0,0,0.038674033,0.038674033,0,0,0,0.044198895,0,0.038674033,0,0,0,0.038674033,0,0,0,0.077348066,0.005524862,0,0,0,0,0,0,0,0,0.033149171,0,0,0,0,0,0.033149171,0.038674033,0,0,0,0,0,0,0.077348066,0,0.033149171,0,0,0,0.033149171,0.005524862,0,0,0,0.099447514,0,0,0,0,0.033149171,0,0.033149171,0,0,0,0,0.038674033,0,0,0,0,0,0.038674033,0,0,0,0,0,0,0,0,0.033149171,0,0,0,0.038674033,0,0.044198895,0,0,0.033149171,0.038674033,0,0,0,0,0.033149171,0,0,0,0,0
Player 463,0.034825871,0,0.029850746,0.07960199,0.059701493,0.07960199,0.029850746,0,0,0.119402985,0.039800995,0,0,0.034825871,0,0.034825871,0.054726368,0.029850746,0.039800995,0.029850746,0,0,0,0,0,0,0,0,0,0.029850746,0,0,0,0,0,0.029850746,0,0,0.029850746,0,0,0,0.059701493,0,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0.029850746,0,0.029850746,0,0,0,0,0.029850746,0,0.034825871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 473,0,0.032085561,0.032085561,0,0.032085561,0,0.037433155,0.005347594,0.096256684,0,0.032085561,0.037433155,0,0,0.032085561,0,0.037433155,0.07486631,0,0.037433155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037433155,0.037433155,0,0.032085561,0,0.037433155,0,0.032085561,0.010695187,0.032085561,0.064171123,0,0.037433155,0.032085561,0,0.032085561,0,0.096256684,0,0,0,0,0,0,0,0.032085561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 597,0.103703704,0,0.044444444,0,0,0,0.044444444,0.044444444,0.051851852,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007407407,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0.051851852,0,0,0,0,0.059259259,0.051851852,0,0,0.051851852,0,0.051851852,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0.103703704,0,0,0,0,0,0.051851852,0,0,0,0,0,0.051851852,0,0.051851852,0,0,0,0,0,0,0,0,0
Player 603,0,0.054263566,0.108527132,0,0,0.046511628,0.046511628,0.046511628,0,0.046511628,0.046511628,0,0,0.046511628,0,0,0,0.085271318,0.046511628,0.054263566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0,0.054263566,0,0,0.03875969,0.054263566,0,0.007751938,0.046511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054263566,0,0,0,0,0,0,0,0,0,0,0,0,0.054263566,0,0,0,0,0.054263566,0,0,0,0,0,0
Player 611,0.075342466,0,0.047945206,0.164383561,0.047945206,0.04109589,0,0.006849315,0.047945206,0,0,0,0.04109589,0.04109589,0,0,0,0,0,0.01369863,0,0,0,0,0,0,0,0,0,0,0,0.006849315,0,0,0,0,0,0,0,0,0,0,0.047945206,0.04109589,0,0,0.04109589,0,0.047945206,0,0,0.191780822,0,0,0.047945206,0,0,0,0.047945206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 621,0,0.006944444,0.083333333,0.041666667,0,0.006944444,0.104166667,0,0,0.006944444,0.104166667,0.145833333,0,0.145833333,0,0.041666667,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0.048611111,0,0.048611111,0,0,0,0,0,0.048611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0
Player 852,0,0.0390625,0,0.109375,0.0078125,0.0078125,0.140625,0.0546875,0,0,0,0.0078125,0.0078125,0,0,0.0546875,0,0,0,0.09375,0,0,0,0.0546875,0,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546875,0.0546875,0.0078125,0,0,0,0,0.046875,0,0,0.046875,0,0.0546875,0,0,0.0546875,0,0,0,0,0.0546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 903,0.040540541,0,0.081081081,0,0.155405405,0.040540541,0.013513513,0.040540541,0,0,0,0,0,0.047297297,0.047297297,0.040540541,0.054054054,0,0.121621622,0,0,0,0,0,0,0,0,0,0,0.040540541,0,0,0,0,0,0,0,0.047297297,0,0,0,0,0,0,0,0,0,0,0,0,0.047297297,0,0,0,0,0,0.040540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047297297,0,0,0,0,0.047297297,0,0,0.047297297,0,0,0,0,0,0
