user_id,dog_accuracy,bball_accurcy,dog_accuracy_excludes_na,bball_accuracy_excludes_na
1.61557E+12,NA,0.125,NA,0.125
1.61557E+12,0.534482759,0.086419753,0.534482759,0.086419753
1.61558E+12,0.492063492,0.169014085,0.492063492,0.170212766
1.61559E+12,0.174603175,0.451612903,0.174603175,0.451612903
1.6156E+12,0.260416667,0.168831169,0.260416667,0.168831169
1.61583E+12,0.520833333,0.641791045,0.520833333,0.641791045
1.61585E+12,0.181818182,0.681818182,0.181818182,0.681818182
1.61566E+12,0.111111111,0.092307692,0.111111111,0.092307692
1.61567E+12,0.525,0.457627119,0.525,0.457627119
1615665111183(sophie),0.925925926,0.109090909,0.925925926,0.109090909
1.61568E+12,0.158536585,0.130434783,0.158536585,0.130434783
1.61568E+12,0.169811321,0.078431373,0.169811321,0.078431373
1.61574E+12,0.24,0.12,0.24,0.12
1.61577E+12,0.333333333,0.462365591,0.333333333,0.462365591
1.61549E+12,0.473333333,0.42519685,0.473333333,0.42519685
1.61551E+12,0.381818182,0.56,0.381818182,0.56
1.61552E+12,0.592592593,0.37254902,0.592592593,0.37254902
1.61592E+12,0.518518519,0.507936508,0.518518519,0.507936508
1.61594E+12,0.395833333,0.18852459,0.408602151,0.190082645
1.61595E+12,0.406976744,0.52173913,0.406976744,0.52173913
1.61539E+12,0.333333333,0.238095238,0.333333333,0.245901639
1.61542E+12,0.178571429,0.203703704,0.212765957,0.205607477
1.61609E+12,0.26984127,0.201257862,0.288135593,0.201257862
1.61611E+12,0.727272727,0.55,0.757894737,0.55
1.61612E+12,0.6,0.28125,0.6,0.28125
1.61618E+12,0.158730159,0.196078431,0.158730159,0.196078431
1.61626E+12,0.448717949,0.316666667,0.448717949,0.316666667
1.61626E+12,0.176470588,0.113207547,0.176470588,0.113207547
1.61663E+12,0.285714286,0.333333333,0.285714286,0.333333333
1616639384306,NA,0.642857143,NA,0.642857143
1.61664E+12,0.4,0.333333333,0.4,0.333333333
1.61664E+12,0.210526316,0.327868852,0.210526316,0.333333333
1.61669E+12,0.233333333,0.673076923,0.233333333,0.673076923
1.61669E+12,0.21686747,0.559322034,0.21686747,0.559322034

1616714995496,0.4083333333333333,0.1826086956521739,0.4083333333333333,0.1826086956521739
