75,1,0,0,19,2,0,0,0,1,0,1,0,0,1,0
3,10,2,0,3,12,0,3,1,1,1,3,0,0,0,0
0,5,17,11,2,2,9,6,2,3,2,1,1,0,0,0
0,1,13,53,1,1,20,35,1,1,3,4,1,0,0,2
15,4,0,0,131,12,1,3,15,3,2,3,3,2,1,2
1,12,4,1,9,142,28,3,3,20,14,6,3,1,3,0
0,1,17,11,5,27,217,31,3,15,42,5,2,3,1,0
1,3,6,41,2,3,31,118,3,2,5,30,2,1,2,1
1,1,0,3,10,4,6,1,55,17,3,1,13,5,2,2
3,1,0,1,3,21,20,3,14,220,22,5,4,42,2,2
0,0,3,6,1,16,40,6,3,25,227,20,1,11,28,2
0,0,1,2,5,3,5,29,2,5,23,110,4,0,6,9
0,0,0,3,1,1,2,3,12,3,2,1,124,8,3,0
1,1,0,0,0,1,0,2,6,41,9,1,4,112,9,4
0,0,0,2,2,2,3,3,2,6,31,0,3,6,106,6
0,0,0,2,2,3,0,1,0,2,4,12,0,0,9,53
