181,7,0,28,7,6,2,3,4
8,80,22,13,38,7,2,3,2
1,27,199,3,15,58,6,2,3
28,13,2,143,35,7,22,9,7
7,38,21,32,540,38,11,57,11
3,7,48,8,50,248,5,7,34
5,2,5,16,9,8,218,19,5
3,3,5,12,55,7,22,320,17
3,0,8,6,12,31,2,25,132
