source,A,B,C,D,E,F,G,H,I
A,33.81818182,0.7,0,2.545454545,0.636363636,0.545454545,0.272727273,0.272727273,0.363636364
B,0.8,25.63636364,2.2,1.181818182,3.454545455,0.636363636,0.181818182,0.272727273,0.181818182
C,0.090909091,2.7,48.08333333,0.166666667,1.25,4.916666667,0.583333333,0.166666667,0.25
D,2.416666667,1,0.166666667,35.23076923,2.769230769,0.538461538,1.692307692,0.692307692,0.615384615
E,0.583333333,3.454545455,1.75,2.538461538,111.9230769,3,0.846153846,4.384615385,0.846153846
F,0.25,0.636363636,4,0.615384615,3.923076923,59.46153846,0.384615385,0.538461538,2.692307692
G,0.5,0.181818182,0.416666667,1.230769231,0.692307692,0.615384615,39.23076923,1.538461538,0.384615385
H,0.25,0.272727273,0.416666667,0.923076923,4.230769231,0.461538462,1.769230769,57.84615385,1.384615385
I,0.25,0,0.75,0.461538462,0.846153846,2.461538462,0.076923077,1.923076923,30.38461538
