source,A,B,C,D,E,F,G,H,I
A,0.0,1.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0
B,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
C,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E,0.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0
F,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
G,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
H,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
