source,A,B,C,D,E,F,G,H,I
A,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
B,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0
C,0.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0
D,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
E,2.0,8.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0
F,2.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0
G,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
H,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
